name,temperature,feels_like,humidity,wind,wind_gust,dew_point,wind_direction,pressure_relative,pressure_absolute,uvi,created_at
"BHI - Ciupac",19.8,19.8,55,10.5,9.2,19.8,NE,1010.7,1009.7,0,"2023-10-21 02:33:07"
"GAVIOTAS - Ciupac",14.4,14.4,89,10.5,8.1,14.4,NE,1011.7,1017.5,0,"2023-10-21 02:33:07"
"Monte hermoson 2",15.4,15.4,87,4.3,3.4,15.4,N,1012.4,1018.2,0,"2023-10-21 02:34:02"
"STE - Ciupac",15.3,15.3,88,2.6,2.2,15.3,NNE,1008,1018.2,0,"2023-10-21 02:34:03"
"SCLE - Ciupac",15.4,15.4,87,4.3,3.4,15.4,N,1012.4,1018.2,0,"2023-10-21 02:34:04"
"MDA - Ciupac",15,15,87,7.6,6.9,15,NE,1014.1,1017.5,0,"2023-10-21 02:34:05"
"CN - Ciupac",13.5,13.5,91,1.8,2.2,13.5,N,1008.7,1018.2,0,"2023-10-21 02:34:06"
"BHI - Ciupac",19.8,19.8,55,9.3,6.9,19.8,ENE,1011.1,1010,0,"2023-10-21 02:34:07"
"GAVIOTAS - Ciupac",14.4,14.4,89,7.2,5.8,14.4,NNE,1012.1,1017.8,0,"2023-10-21 02:34:08"
"Monte hermoson 2",15.4,15.4,87,11.1,8.1,15.4,NNE,1012.4,1018.2,0,"2023-10-21 02:35:02"
"STE - Ciupac",15.3,15.3,88,2.6,2.2,15.3,NNE,1008,1018.2,0,"2023-10-21 02:35:03"
"SCLE - Ciupac",15.4,15.4,87,11.1,8.1,15.4,NNE,1012.4,1018.2,0,"2023-10-21 02:35:04"
"MDA - Ciupac",15,15,87,6.1,5.8,15,NE,1014.1,1017.5,0,"2023-10-21 02:35:05"
"CN - Ciupac",13.5,13.5,91,2.1,2.2,13.5,NNW,1008.7,1018.2,0,"2023-10-21 02:35:06"
"BHI - Ciupac",19.7,19.7,55,9,6.9,19.7,SSE,1010.7,1010,0,"2023-10-21 02:35:07"
"GAVIOTAS - Ciupac",14.4,14.4,89,7.2,6.9,14.4,NNE,1012.1,1017.8,0,"2023-10-21 02:35:08"
"Monte hermoson 2",15.4,15.4,87,7.2,6.9,15.4,NE,1012.1,1018.2,0,"2023-10-21 02:36:02"
"STE - Ciupac",15.3,15.3,88,2.6,2.2,15.3,NNE,1008,1018.2,0,"2023-10-21 02:36:03"
"SCLE - Ciupac",15.4,15.4,87,7.2,6.9,15.4,NE,1012.1,1018.2,0,"2023-10-21 02:36:04"
"MDA - Ciupac",15,15,87,4,3.4,15,NE,1014.1,1017.5,0,"2023-10-21 02:36:05"
"CN - Ciupac",13.5,13.5,91,3.2,3.4,13.5,NNW,1008.7,1018.2,0,"2023-10-21 02:36:06"
"BHI - Ciupac",19.7,19.7,55,15.4,11.4,19.7,NE,1010.7,1010,0,"2023-10-21 02:36:07"
"GAVIOTAS - Ciupac",14.4,14.4,89,10.5,8.1,14.4,NE,1011.7,1017.5,0,"2023-10-21 02:36:08"
"Monte hermoson 2",15.4,15.4,87,8.2,6.9,15.4,E,1012.4,1018.2,0,"2023-10-21 02:37:01"
"STE - Ciupac",15.3,15.3,88,2.6,2.2,15.3,NNE,1008,1018.2,0,"2023-10-21 02:37:02"
"SCLE - Ciupac",15.4,15.4,87,8.2,6.9,15.4,E,1012.4,1018.2,0,"2023-10-21 02:37:03"
"MDA - Ciupac",15,15,87,2.1,2.2,15,NE,1014.4,1017.5,0,"2023-10-21 02:37:04"
"CN - Ciupac",13.5,13.5,91,1.1,1.1,13.5,NW,1008.7,1018.2,0,"2023-10-21 02:37:05"
"BHI - Ciupac",19.7,19.7,55,15.4,11.4,19.7,NE,1010.7,1010,0,"2023-10-21 02:37:06"
"GAVIOTAS - Ciupac",14.4,14.4,89,6.9,5.8,14.4,NE,1011.7,1017.5,0,"2023-10-21 02:37:08"
"Monte hermoson 2",15.4,15.4,87,6.4,5.8,15.4,NNE,1012.4,1018.2,0,"2023-10-21 02:38:01"
"STE - Ciupac",15.2,15.2,88,4.3,4.5,15.2,ESE,1008.4,1018.2,0,"2023-10-21 02:38:02"
"SCLE - Ciupac",15.4,15.4,87,6.4,5.8,15.4,NNE,1012.4,1018.2,0,"2023-10-21 02:38:03"
"MDA - Ciupac",15,15,87,9.3,12.5,15,NE,1014.1,1017.5,0,"2023-10-21 02:38:04"
"CN - Ciupac",13.6,13.6,91,4,4.5,13.6,ENE,1008.7,1018.2,0,"2023-10-21 02:38:05"
"BHI - Ciupac",19.8,19.8,55,9.7,8.1,19.8,NE,1011.1,1010,0,"2023-10-21 02:38:06"
"GAVIOTAS - Ciupac",14.4,14.4,89,6.9,5.8,14.4,NE,1011.7,1017.5,0,"2023-10-21 02:38:07"
"Monte hermoson 2",15.4,15.4,87,6.1,5.8,15.4,NE,1012.4,1018.5,0,"2023-10-21 02:49:03"
"STE - Ciupac",15.2,15.2,88,4.3,6.9,15.2,E,1008,1018.2,0,"2023-10-21 02:49:05"
"SCLE - Ciupac",15.4,15.4,87,6.1,5.8,15.4,NE,1012.4,1018.5,0,"2023-10-21 02:49:06"
"MDA - Ciupac",15,15,87,3.5,4.5,15,NE,1014.1,1017.5,0,"2023-10-21 02:49:07"
"CN - Ciupac",13.5,13.5,91,1.4,1.1,13.5,NW,1008.4,1018.2,0,"2023-10-21 02:49:08"
"BHI - Ciupac",19.6,19.6,56,8.7,6.9,19.6,E,1010.7,1009.7,0,"2023-10-21 02:49:09"
"GAVIOTAS - Ciupac",14.3,14.3,89,7.6,8.1,14.3,NNE,1011.7,1017.5,0,"2023-10-21 02:49:10"
"Monte hermoson 2",15.3,15.3,87,6.9,6.9,15.3,ENE,1012.4,1018.2,0,"2023-10-21 02:50:02"
"STE - Ciupac",15.2,15.2,88,4.3,6.9,15.2,E,1008,1018.2,0,"2023-10-21 02:50:03"
"SCLE - Ciupac",15.3,15.3,87,6.9,6.9,15.3,ENE,1012.4,1018.2,0,"2023-10-21 02:50:04"
"MDA - Ciupac",15,15,87,3.5,4.5,15,NE,1014.1,1017.5,0,"2023-10-21 02:50:05"
"CN - Ciupac",13.5,13.5,91,2.6,3.4,13.5,W,1008.4,1018.2,0,"2023-10-21 02:50:06"
"BHI - Ciupac",19.6,19.6,56,7.6,5.8,19.6,E,1010.7,1010,0,"2023-10-21 02:50:07"
"GAVIOTAS - Ciupac",14.3,14.3,89,7.6,6.9,14.3,ENE,1012.1,1017.8,0,"2023-10-21 02:50:08"
"Monte hermoson 2",15.3,15.3,87,4.7,4.5,15.3,NE,1012.4,1018.2,0,"2023-10-21 02:51:02"
"STE - Ciupac",15.2,15.2,88,4.3,6.9,15.2,E,1008,1018.2,0,"2023-10-21 02:51:03"
"SCLE - Ciupac",15.3,15.3,87,4.7,4.5,15.3,NE,1012.4,1018.2,0,"2023-10-21 02:51:04"
"MDA - Ciupac",15,15,87,1.4,1.1,15,NE,1014.1,1017.5,0,"2023-10-21 02:51:05"
"CN - Ciupac",13.6,13.6,91,3.2,3.4,13.6,N,1008.7,1018.2,0,"2023-10-21 02:51:06"
"BHI - Ciupac",19.6,19.6,56,9,6.9,19.6,NNE,1011.1,1010,0,"2023-10-21 02:51:07"
"GAVIOTAS - Ciupac",14.3,14.3,89,7.9,9.2,14.3,NNE,1012.1,1017.8,0,"2023-10-21 02:51:08"
"Monte hermoson 2",15.3,15.3,88,6.4,5.8,15.3,NNE,1012.4,1018.5,0,"2023-10-21 02:52:02"
"STE - Ciupac",15.2,15.2,88,4.3,6.9,15.2,E,1008,1018.2,0,"2023-10-21 02:52:03"
"SCLE - Ciupac",15.3,15.3,88,6.4,5.8,15.3,NNE,1012.4,1018.5,0,"2023-10-21 02:52:04"
"MDA - Ciupac",15,15,87,5.5,4.5,15,NNE,1014.1,1017.5,0,"2023-10-21 02:52:04"
"CN - Ciupac",13.6,13.6,91,2.9,2.2,13.6,W,1008.4,1017.8,0,"2023-10-21 02:52:05"
"BHI - Ciupac",19.6,19.6,56,6.4,6.9,19.6,ENE,1010.7,1010,0,"2023-10-21 02:52:06"
"GAVIOTAS - Ciupac",14.3,14.3,89,7.9,9.2,14.3,NNE,1012.1,1017.8,0,"2023-10-21 02:52:07"
"Monte hermoson 2",15.3,15.3,88,6.4,5.8,15.3,ENE,1012.8,1018.5,0,"2023-10-21 02:53:02"
"STE - Ciupac",15.2,15.2,88,4.7,4.5,15.2,E,1008.4,1018.5,0,"2023-10-21 02:53:03"
"SCLE - Ciupac",15.3,15.3,88,6.4,5.8,15.3,ENE,1012.8,1018.5,0,"2023-10-21 02:53:04"
"MDA - Ciupac",15,15,87,2.6,2.2,15,E,1014.1,1017.5,0,"2023-10-21 02:53:05"
"CN - Ciupac",13.6,13.6,91,4.3,4.5,13.6,NNW,1008,1017.8,0,"2023-10-21 02:53:07"
"BHI - Ciupac",19.6,19.6,56,7.2,6.9,19.6,ESE,1010.7,1010,0,"2023-10-21 02:53:07"
"GAVIOTAS - Ciupac",14.2,14.2,89,5,5.8,14.2,NNE,1012.1,1017.8,0,"2023-10-21 02:53:08"
"Monte hermoson 2",15.3,15.3,88,4,4.5,15.3,NE,1012.8,1018.5,0,"2023-10-21 02:54:03"
"STE - Ciupac",15.2,15.2,88,4.7,4.5,15.2,E,1008.4,1018.5,0,"2023-10-21 02:54:03"
"SCLE - Ciupac",15.3,15.3,88,4,4.5,15.3,NE,1012.8,1018.5,0,"2023-10-21 02:54:04"
"MDA - Ciupac",15,15,87,6.1,6.9,15,E,1013.8,1017.2,0,"2023-10-21 02:54:05"
"CN - Ciupac",13.5,13.5,91,2.1,2.2,13.5,NNE,1008.4,1018.2,0,"2023-10-21 02:54:06"
"BHI - Ciupac",19.6,19.6,56,6.4,5.8,19.6,ENE,1011.1,1010,0,"2023-10-21 02:54:07"
"GAVIOTAS - Ciupac",14.2,14.2,89,3.2,4.5,14.2,N,1012.1,1017.8,0,"2023-10-21 02:54:08"
"Monte hermoson 2",15.3,15.3,87,6.9,8.1,15.3,ENE,1012.4,1018.5,0,"2023-10-21 02:55:01"
"STE - Ciupac",15.2,15.2,88,4.7,4.5,15.2,E,1008.4,1018.5,0,"2023-10-21 02:55:02"
"SCLE - Ciupac",15.3,15.3,87,6.9,8.1,15.3,ENE,1012.4,1018.5,0,"2023-10-21 02:55:03"
"MDA - Ciupac",15,15,87,4.7,4.5,15,NE,1014.1,1017.5,0,"2023-10-21 02:55:04"
"CN - Ciupac",13.5,13.5,91,2.1,2.2,13.5,N,1008.4,1018.2,0,"2023-10-21 02:55:05"
"BHI - Ciupac",19.6,19.6,56,6.4,5.8,19.6,ENE,1011.1,1010,0,"2023-10-21 02:55:06"
"GAVIOTAS - Ciupac",14.2,14.2,89,10.5,8.1,14.2,NNE,1012.1,1017.8,0,"2023-10-21 02:55:07"
"Monte hermoson 2",15.3,15.3,87,6.9,8.1,15.3,ENE,1012.4,1018.5,0,"2023-10-21 02:56:01"
"STE - Ciupac",15.2,15.2,88,4.7,4.5,15.2,E,1008.4,1018.5,0,"2023-10-21 02:56:02"
"SCLE - Ciupac",15.3,15.3,87,4,4.5,15.3,NE,1012.4,1018.2,0,"2023-10-21 02:56:03"
"MDA - Ciupac",15,15,87,3.5,4.5,15,NE,1014.1,1017.5,0,"2023-10-21 02:56:04"
"CN - Ciupac",13.5,13.5,91,2.1,2.2,13.5,N,1008.4,1018.2,0,"2023-10-21 02:56:05"
"BHI - Ciupac",19.6,19.6,56,6.4,5.8,19.6,E,1010.7,1009.7,0,"2023-10-21 02:56:06"
"GAVIOTAS - Ciupac",14.2,14.2,89,8.2,6.9,14.2,N,1012.1,1017.8,0,"2023-10-21 02:56:07"
